,Sitio,name,website,address,phone,city,Price,Email 1,Email 2,Email 3,Email 4,Email 5
1,Google,Sendero Hotel & Villas Nosara,http://senderonosara.com/,"Lot J53, Provincia de Guanacaste, Nosara, 50206, Costa Rica",(646) 306-8597,Nosara,"U$S 583,24",reservations@senderonosara.com,,,,
1,Google,Nosara Beach Hotel,http://www.nosarabeachhotel.com/,"Punta Guiones, Provincia de Guanacaste, Nosara, 50206, Costa Rica",2682 5153,Nosara,"U$S 261,68",info@nosarabeachhotel.com,,,,
1,Google,Occidental Tamarindo,https://www.barcelo.com/en-us/occidental-tamarindo/?utm_source=google&utm_medium=organic&utm_campaign=my_business&utm_content=7370,"Avenida España Calle Playa Langosta, Provincia de Guanacaste, Tamarindo, 50309, Costa Rica",2690 9600,Tamarindo,"U$S 338,57",tamarindo@occidentalhotels.com,,,,
1,Google,Tamarindo Diria,https://www.tamarindodiria.com/,"C. Central, Provincia de Guanacaste, Tamarindo, 50309, Costa Rica",4032 0032,Tamarindo,"U$S 235,38",contactus@tamarindodiria.com,,,,
1,Google,Hotel Tropico Latino,http://www.hoteltropicolatino.com/,"Frente super fresco Santa Teresa de Cobano, Provincia de Puntarenas, Santa Teresa, 60111, Costa Rica",8453 3422,Santa Teresa,"U$S 478,41",info@hoteltropicolatino.com,,,,
1,Google,Hotel Santa Teresa,http://www.hotelsantateresa.cr/,"JRHX+4J, Provincia de Puntarenas, Puntarenas, Carmen, 60111, Costa Rica",2640 0404,Carmen,"U$S 351,00",reservations@hotelsantateresa.com,,,,
1,Google,"Hotel Nantipa, an SLH Hotel",http://www.nantipa.com/,"de, Main Street, Provincia de Puntarenas, Cobano, Costa Rica",(855) 626-8472,Cobano,"U$S 601,45",concierge@nantipa.com,experiences@nantipa.com,mmikowski@nantipa.com,reservations@nantipa.com,info@nicoyapeninsulafoundation.org
1,Google,The White Palms of Nosara,http://www.whitepalmsnosara.com/,"300 Meters West of Route 160, South Guiones, Provincia de Guanacaste, Nicoya, 50206, Costa Rica",8677 3456,Nicoya,"U$S 235,38",whitepalmsnosara@gmail.com,,,,
1,Google,Capitán Suizo Beachfront Boutique Hotel,http://www.hotelcapitansuizo.com/,"Playa Tamarindo, Provincia de Guanacaste, Santa Cruz, 50309, Costa Rica",2653 0075,Santa Cruz,"U$S 304,60",user@domain.com,info@hotelcapitansuizo.com,,,
1,Google,Ocho Artisan Bungalows,http://www.ochoartisanbungalows.com/,"200 meters south 2001 supermarket, Provincia de Guanacaste, Tamarindo, 50309, Costa Rica",8365 9666,Tamarindo,"U$S 351,30",mika@ochosuites.com,mika@casaamorbeach.com,,,
